date,home_team,away_team,tournament,country,neutral,year,month,dayofweek,home_dg_5,home_dg_4,home_dg_3,home_dg_2,home_dg_1,away_dg_5,away_dg_4,away_dg_3,away_dg_2,away_dg_1,home_gaf_5,home_gaf_4,home_gaf_3,home_gaf_2,home_gaf_1,home_gog_5,home_gog_4,home_gog_3,home_gog_2,home_gog_1,away_gaf_5,away_gaf_4,away_gaf_3,away_gaf_2,away_gaf_1,away_gog_5,away_gog_4,away_gog_3,away_gog_2,away_gog_1,elo_home,elo_away,elo_diff
2026-06-11,Mexico,South Africa,FIFA World Cup,Mexico,False,2026,6,3,0,0,2,1,4,-1,0,-1,0,1,0,1,2,1,5,0,1,0,0,1,1,1,1,0,1,2,1,2,0,0,1877.2973,1665.5683,211.72900000000004
2026-06-11,South Korea,Czech Republic,FIFA World Cup,Mexico,True,2026,6,3,1,-4,-1,5,1,6,0,0,1,4,1,0,0,5,1,0,4,1,0,0,6,2,2,2,5,0,2,2,1,1,1848.6074,1755.6228,92.9846
2026-06-12,Canada,Bosnia and Herzegovina,FIFA World Cup,Canada,False,2026,6,4,2,0,0,2,0,0,0,0,0,0,2,2,0,2,1,0,2,0,0,1,1,1,1,0,1,1,1,1,0,1,1819.053,1605.8052,213.2478000000001
2026-06-12,United States,Paraguay,FIFA World Cup,United States,False,2026,6,4,4,-3,-2,1,-1,-1,1,1,-1,4,5,2,0,3,1,1,5,2,2,2,1,2,1,1,4,2,1,0,2,0,1829.4659,1766.0615,63.404399999999896
2026-06-13,Qatar,Switzerland,FIFA World Cup,United States,True,2026,6,5,-1,0,-3,-1,0,0,-1,0,3,0,0,1,0,0,0,1,1,3,1,0,1,3,0,4,1,1,4,0,1,1,1608.2237,1864.2415,-256.0178000000001
2026-06-13,Brazil,Morocco,FIFA World Cup,United States,True,2026,6,5,0,-1,2,4,1,0,1,5,4,0,1,1,3,6,2,1,2,1,2,1,1,2,5,4,1,1,1,0,0,1,2003.6162,1916.7695,86.84669999999983
2026-06-13,Haiti,Scotland,FIFA World Cup,United States,True,2026,6,5,2,-1,0,4,-1,2,-1,-1,3,4,2,0,1,4,1,0,1,1,0,2,4,0,0,4,4,2,1,1,1,0,1612.6601,1737.8274,-125.16729999999984
2026-06-13,Australia,Turkey,FIFA World Cup,Canada,True,2026,6,5,-3,1,4,-1,0,0,1,1,4,1,0,1,5,0,1,3,0,1,1,1,2,1,1,4,2,2,0,0,0,1,1819.7589,1837.4803,-17.721399999999903
2026-06-14,Germany,Curaçao,FIFA World Cup,United States,True,2026,6,6,6,1,1,4,1,0,-2,-4,-3,4,6,4,2,4,2,0,3,1,0,1,0,0,1,1,4,0,2,5,4,0,1955.2107,1520.344,434.86670000000004
2026-06-14,Ivory Coast,Ecuador,FIFA World Cup,United States,True,2026,6,6,3,-1,4,1,1,2,0,0,1,3,3,2,4,1,2,0,3,0,0,1,2,1,1,2,3,0,1,1,1,0,1775.8704,1884.4061,-108.5356999999999
2026-06-14,Netherlands,Japan,FIFA World Cup,United States,True,2026,6,6,4,1,0,-1,1,2,3,1,1,1,4,2,1,0,2,0,1,1,1,1,2,3,1,1,1,0,0,0,0,0,1943.1255,1930.8343,12.291200000000117
2026-06-14,Sweden,Tunisia,FIFA World Cup,Mexico,True,2026,6,6,0,2,1,-2,0,0,1,0,-1,-5,1,3,3,1,2,1,1,2,3,2,1,1,0,0,0,1,0,0,1,5,1739.9624,1711.418,28.544399999999996
2026-06-15,Belgium,Egypt,FIFA World Cup,United States,True,2026,6,0,7,3,0,2,5,0,4,0,1,-1,7,5,1,2,5,0,2,1,0,0,0,4,0,1,1,0,0,0,0,2,1923.8123,1768.7569,155.05539999999996
2026-06-15,Iran,New Zealand,FIFA World Cup,United States,True,2026,6,0,0,-1,5,2,2,-2,-2,3,-4,-1,0,1,5,3,2,0,2,0,1,0,0,0,4,0,0,2,2,1,4,1,1857.255,1649.153,208.1020000000001
2026-06-15,Spain,Cape Verde,FIFA World Cup,United States,True,2026,6,0,0,3,0,0,2,0,-2,0,3,-3,2,3,0,1,3,2,0,0,1,1,1,2,1,3,0,1,4,1,0,3,2074.8809,1601.9211,472.9598000000001
2026-06-15,Saudi Arabia,Uruguay,FIFA World Cup,United States,True,2026,6,0,-4,-1,-1,3,0,1,0,-4,0,0,0,1,1,3,0,4,2,2,0,0,2,0,1,1,0,1,0,5,1,0,1666.3229,1880.3993,-214.07640000000015
2026-06-16,France,Senegal,FIFA World Cup,United States,True,2026,6,1,2,1,2,-1,2,-3,2,2,-1,0,3,2,3,1,3,1,1,1,2,1,0,2,3,2,0,3,0,1,3,0,2021.8274,1843.24,178.5873999999999
2026-06-16,Iraq,Norway,FIFA World Cup,United States,True,2026,6,1,-1,1,1,0,-2,3,-1,0,2,0,0,2,1,1,0,1,1,0,1,2,4,1,0,3,1,1,2,0,1,1,1704.7266,1827.7675,-123.04089999999997
2026-06-16,Argentina,Algeria,FIFA World Cup,United States,True,2026,6,1,2,1,5,2,3,1,-2,7,0,1,2,2,5,2,3,0,1,0,0,0,1,0,7,0,1,0,2,0,0,0,2069.7951,1839.8006,229.9944999999998
2026-06-16,Austria,Jordan,FIFA World Cup,United States,True,2026,6,1,2,0,4,1,1,-1,0,0,-3,-2,2,1,5,1,1,0,1,1,0,0,2,2,2,1,0,3,2,2,4,2,1835.2059,1685.1744,150.03149999999982
2026-06-17,Portugal,DR Congo,FIFA World Cup,United States,True,2026,6,2,-2,8,0,2,1,-1,2,1,0,-1,0,9,0,2,2,2,1,0,0,1,0,2,1,0,1,1,0,0,0,2,1963.9932,1654.2973,309.69589999999994
2026-06-17,Uzbekistan,Colombia,FIFA World Cup,Mexico,True,2026,6,2,0,2,0,-2,-1,3,-1,-2,2,2,2,3,0,0,1,2,1,0,2,2,3,1,1,3,2,0,2,3,1,0,1755.128,1959.0987,-203.97070000000008
2026-06-17,England,Croatia,FIFA World Cup,United States,True,2026,6,2,2,2,0,-1,1,1,1,-2,-2,1,2,2,1,0,1,0,0,1,1,0,3,2,1,0,2,2,1,3,2,1,1970.1491,1894.8063,75.34280000000012
2026-06-17,Ghana,Panama,FIFA World Cup,Canada,True,2026,6,2,-1,-4,-1,-2,0,0,1,-4,2,0,0,1,1,0,1,1,5,2,2,1,1,2,2,4,1,1,1,6,2,1,1600.3502,1736.0335,-135.68329999999992
2026-06-18,Czech Republic,South Africa,FIFA World Cup,United States,True,2026,6,3,6,0,0,1,4,-1,0,-1,0,1,6,2,2,2,5,0,2,2,1,1,1,1,1,0,1,2,1,2,0,0,1755.6228,1665.5683,90.05450000000019
2026-06-18,Mexico,South Korea,FIFA World Cup,Mexico,False,2026,6,3,0,0,2,1,4,1,-4,-1,5,1,0,1,2,1,5,0,1,0,0,1,1,0,0,5,1,0,4,1,0,0,1877.2973,1848.6074,28.689899999999852
2026-06-18,Switzerland,Bosnia and Herzegovina,FIFA World Cup,United States,True,2026,6,3,0,-1,0,3,0,0,0,0,0,0,1,3,0,4,1,1,4,0,1,1,1,1,1,0,1,1,1,1,0,1,1864.2415,1605.8052,258.4363000000001
2026-06-18,Canada,Qatar,FIFA World Cup,Canada,False,2026,6,3,2,0,0,2,0,-1,0,-3,-1,0,2,2,0,2,1,0,2,0,0,1,0,1,0,0,0,1,1,3,1,0,1819.053,1608.2237,210.8293000000001
2026-06-19,Scotland,Morocco,FIFA World Cup,United States,True,2026,6,4,2,-1,-1,3,4,0,1,5,4,0,4,0,0,4,4,2,1,1,1,0,1,2,5,4,1,1,1,0,0,1,1737.8274,1916.7695,-178.9421000000002
2026-06-19,Brazil,Haiti,FIFA World Cup,United States,True,2026,6,4,0,-1,2,4,1,2,-1,0,4,-1,1,1,3,6,2,1,2,1,2,1,2,0,1,4,1,0,1,1,0,2,2003.6162,1612.6601,390.9560999999999
2026-06-19,United States,Australia,FIFA World Cup,United States,False,2026,6,4,4,-3,-2,1,-1,-3,1,4,-1,0,5,2,0,3,1,1,5,2,2,2,0,1,5,0,1,3,0,1,1,1,1829.4659,1819.7589,9.70699999999988
2026-06-19,Turkey,Paraguay,FIFA World Cup,United States,True,2026,6,4,0,1,1,4,1,-1,1,1,-1,4,2,1,1,4,2,2,0,0,0,1,1,2,1,1,4,2,1,0,2,0,1837.4803,1766.0615,71.41879999999992
2026-06-20,Germany,Ivory Coast,FIFA World Cup,Canada,True,2026,6,5,6,1,1,4,1,3,-1,4,1,1,6,4,2,4,2,0,3,1,0,1,3,2,4,1,2,0,3,0,0,1,1955.2107,1775.8704,179.34030000000007
2026-06-20,Ecuador,Curaçao,FIFA World Cup,United States,True,2026,6,5,2,0,0,1,3,0,-2,-4,-3,4,2,1,1,2,3,0,1,1,1,0,0,0,1,1,4,0,2,5,4,0,1884.4061,1520.344,364.0620999999999
2026-06-20,Netherlands,Sweden,FIFA World Cup,United States,True,2026,6,5,4,1,0,-1,1,0,2,1,-2,0,4,2,1,0,2,0,1,1,1,1,1,3,3,1,2,1,1,2,3,2,1943.1255,1739.9624,203.1631000000002
2026-06-20,Tunisia,Japan,FIFA World Cup,Mexico,True,2026,6,5,0,1,0,-1,-5,2,3,1,1,1,1,1,0,0,0,1,0,0,1,5,2,3,1,1,1,0,0,0,0,0,1711.418,1930.8343,-219.4163000000001
2026-06-21,Belgium,Iran,FIFA World Cup,United States,True,2026,6,6,7,3,0,2,5,0,-1,5,2,2,7,5,1,2,5,0,2,1,0,0,0,1,5,3,2,0,2,0,1,0,1923.8123,1857.255,66.55729999999994
2026-06-21,New Zealand,Egypt,FIFA World Cup,Canada,True,2026,6,6,-2,-2,3,-4,-1,0,4,0,1,-1,0,0,4,0,0,2,2,1,4,1,0,4,0,1,1,0,0,0,0,2,1649.153,1768.7569,-119.60390000000007
